Unnamed: 0,id,owner,device,timestamp,cellinfo.wgs84.lat,cellinfo.wgs84.lon,cellinfo.azimuth_degrees,cell,cellinfo.postal_code
10517,10517,Agent15,15_1,2023-05-12 01:09:45.602973,52.01447427934024,4.372028215829393,0,0-0-0,2612JZ
10518,10518,Agent15,15_1,2023-05-12 01:45:34.475039,52.01027571283207,4.362596944247211,60,0-0-0,2611MA
10519,10519,Agent15,15_1,2023-05-12 01:47:37.484042,52.02068273213007,4.356195988642664,120,0-0-0,2612GV
10520,10520,Agent15,15_1,2023-05-12 02:28:17.704376,52.03913150974646,4.368000304253156,120,0-0-0,2497DM
10521,10521,Agent15,15_1,2023-05-12 02:43:59.103816,52.04305029300129,4.355578979769384,120,0-0-0,2497GC
10522,10522,Agent15,15_1,2023-05-12 04:00:03.096944,52.03666344832492,4.364296146600832,120,0-0-0,2497BW
10523,10523,Agent15,15_1,2023-05-12 07:28:34.381888,52.02767176582986,4.357769210259272,40,0-0-0,2612CT
10524,10524,Agent15,15_1,2023-05-12 08:34:46.115933,52.01656390349047,4.367319006028084,120,0-0-0,2612VC
10525,10525,Agent15,15_1,2023-05-12 08:37:56.207668,52.01979036913978,4.362087998218577,100,0-0-0,2612XW
10526,10526,Agent15,15_1,2023-05-12 11:25:51.307344,52.02767176582986,4.357769210259272,40,0-0-0,2612CT
10527,10527,Agent15,15_1,2023-05-12 13:26:11.015844,52.02767176582986,4.357769210259272,40,0-0-0,2612CT
10528,10528,Agent15,15_1,2023-05-12 13:40:46.054162,52.01656390349047,4.367319006028084,0,0-0-0,2612VC
10529,10529,Agent15,15_1,2023-05-12 15:20:08.479169,52.02767176582986,4.357769210259272,170,0-0-0,2612CT
10530,10530,Agent15,15_1,2023-05-12 18:28:29.213615,52.05047702557171,4.3466164517146,120,0-0-0,2289DJ
10531,10531,Agent15,15_1,2023-05-12 18:38:45.843100,52.0485510644788,4.373136281554398,120,0-0-0,2496WX
10532,10532,Agent15,15_1,2023-05-12 18:59:11.952694,52.03913150974646,4.368000304253156,0,0-0-0,2497DM
10533,10533,Agent15,15_1,2023-05-12 19:06:21.319132,52.05047702557171,4.3466164517146,240,0-0-0,2289DJ
10534,10534,Agent15,15_1,2023-05-12 19:19:51.425330,52.0485510644788,4.373136281554398,240,0-0-0,2496WX
10535,10535,Agent15,15_1,2023-05-12 19:51:59.065392,52.03666344832492,4.364296146600832,120,0-0-0,2497BW
10536,10536,Agent15,15_1,2023-05-12 21:10:29.954605,52.01447427934024,4.372028215829393,0,0-0-0,2612JZ
10537,10537,Agent15,15_1,2023-05-12 21:43:10.976867,52.02764391326549,4.3576678464392105,120,0-0-0,2612CT
10538,10538,Agent15,15_1,2023-05-12 21:51:52.535504,52.02767176582986,4.357769210259272,40,0-0-0,2612CT
10539,10539,Agent15,15_1,2023-05-12 22:02:56.525012,52.02767176582986,4.357769210259272,40,0-0-0,2612CT
10540,10540,Agent15,15_1,2023-05-12 23:02:26.771694,51.99757620570159,4.384701294269303,340,0-0-0,2628XJ
10541,10541,Agent15,15_1,2023-05-12 23:05:35.334129,52.014509222317706,4.371910882857698,0,0-0-0,2612RZ
